datetime,difficulty
10/16/2022 0:00,197562
10/15/2022 0:00,209158
10/14/2022 0:00,195930
10/13/2022 0:00,196067
10/12/2022 0:00,199940
10/11/2022 0:00,205955
10/10/2022 0:00,210366
10/9/2022 0:00,212544
10/8/2022 0:00,211889
10/7/2022 0:00,215311
10/6/2022 0:00,197355
10/5/2022 0:00,196075
10/4/2022 0:00,203739
10/3/2022 0:00,215789
10/2/2022 0:00,220375
10/1/2022 0:00,203753
9/30/2022 0:00,213096
9/29/2022 0:00,218356
9/28/2022 0:00,214377
9/27/2022 0:00,234426
9/26/2022 0:00,222936
9/25/2022 0:00,222361
9/24/2022 0:00,236514
9/23/2022 0:00,243536
9/22/2022 0:00,243035
9/21/2022 0:00,238632
9/20/2022 0:00,232309
9/19/2022 0:00,266418
9/18/2022 0:00,247384
9/17/2022 0:00,281832
9/16/2022 0:00,273873
9/15/2022 0:00,217048
9/14/2022 0:00,115364
9/13/2022 0:00,91309
9/12/2022 0:00,74340
9/11/2022 0:00,64930
9/10/2022 0:00,65830
9/9/2022 0:00,54335
9/8/2022 0:00,50934
9/7/2022 0:00,49241
9/6/2022 0:00,44628
9/5/2022 0:00,39179
9/4/2022 0:00,36860
9/3/2022 0:00,38132
9/2/2022 0:00,37561
9/1/2022 0:00,36183
8/31/2022 0:00,37176
8/30/2022 0:00,37618
8/29/2022 0:00,36618
8/28/2022 0:00,37056
8/27/2022 0:00,37734
8/26/2022 0:00,38445
8/25/2022 0:00,38540
8/24/2022 0:00,37386
8/23/2022 0:00,37098
8/22/2022 0:00,36422
8/21/2022 0:00,35912
8/20/2022 0:00,34021
8/19/2022 0:00,32983
8/18/2022 0:00,35278
8/17/2022 0:00,34376
8/16/2022 0:00,36595
8/15/2022 0:00,35217
8/14/2022 0:00,35377
8/13/2022 0:00,33494
8/12/2022 0:00,36729
8/11/2022 0:00,36190
8/10/2022 0:00,36012
8/9/2022 0:00,36796
8/8/2022 0:00,38109
8/7/2022 0:00,38774
8/6/2022 0:00,37986
8/5/2022 0:00,37539
8/4/2022 0:00,36949
8/3/2022 0:00,37991
8/2/2022 0:00,37613
8/1/2022 0:00,37063
7/31/2022 0:00,37160
7/30/2022 0:00,38134
7/29/2022 0:00,36041
7/28/2022 0:00,31876
7/27/2022 0:00,30941
7/26/2022 0:00,30674
7/25/2022 0:00,29138
7/24/2022 0:00,32652
7/23/2022 0:00,31419
7/22/2022 0:00,31855
7/21/2022 0:00,32963
7/20/2022 0:00,33130
7/19/2022 0:00,32532
7/18/2022 0:00,33088
7/17/2022 0:00,32137
7/16/2022 0:00,32611
7/15/2022 0:00,32823
7/14/2022 0:00,32592
7/13/2022 0:00,33321
7/12/2022 0:00,33998
7/11/2022 0:00,34243
7/10/2022 0:00,36063
7/9/2022 0:00,36157
7/8/2022 0:00,34803
7/7/2022 0:00,34164
7/6/2022 0:00,34705
7/5/2022 0:00,34120
7/4/2022 0:00,34316
7/3/2022 0:00,36031
7/2/2022 0:00,36984
7/1/2022 0:00,37212
6/30/2022 0:00,40778
6/29/2022 0:00,41513
6/28/2022 0:00,44133
6/27/2022 0:00,42343
6/26/2022 0:00,40609
6/25/2022 0:00,40173
6/24/2022 0:00,39566
6/23/2022 0:00,39027
6/22/2022 0:00,37766
6/21/2022 0:00,38465
6/20/2022 0:00,36438
6/19/2022 0:00,36728
6/18/2022 0:00,36105
6/17/2022 0:00,35760
6/16/2022 0:00,35850
6/15/2022 0:00,33873
6/14/2022 0:00,33632
6/13/2022 0:00,34237
6/12/2022 0:00,36371
6/11/2022 0:00,34889
6/10/2022 0:00,35597
6/9/2022 0:00,36823
6/8/2022 0:00,35983
6/7/2022 0:00,36053
6/6/2022 0:00,36685
6/5/2022 0:00,35033
6/4/2022 0:00,36821
6/3/2022 0:00,35183
6/2/2022 0:00,35282
6/1/2022 0:00,35558
5/31/2022 0:00,35256
5/30/2022 0:00,36476
5/29/2022 0:00,36463
5/28/2022 0:00,35624
5/27/2022 0:00,36244
5/26/2022 0:00,36631
5/25/2022 0:00,36037
5/24/2022 0:00,36912
5/23/2022 0:00,38125
5/22/2022 0:00,37995
5/21/2022 0:00,38855
5/20/2022 0:00,38397
5/19/2022 0:00,38736
5/18/2022 0:00,39111
5/17/2022 0:00,39171
5/16/2022 0:00,37045
5/15/2022 0:00,37571
5/14/2022 0:00,36828
5/13/2022 0:00,36324
5/12/2022 0:00,35462
5/11/2022 0:00,36767
5/10/2022 0:00,39355
5/9/2022 0:00,41152
5/8/2022 0:00,41438
5/7/2022 0:00,43441
5/6/2022 0:00,43064
5/5/2022 0:00,43398
5/4/2022 0:00,42356
5/3/2022 0:00,42605
5/2/2022 0:00,43039
5/1/2022 0:00,43214
4/30/2022 0:00,44974
4/29/2022 0:00,43308
4/28/2022 0:00,45073
4/27/2022 0:00,44237
4/26/2022 0:00,45645
4/25/2022 0:00,46397
4/24/2022 0:00,46085
4/23/2022 0:00,46406
4/22/2022 0:00,45199
4/21/2022 0:00,46247
4/20/2022 0:00,45421
4/19/2022 0:00,45804
4/18/2022 0:00,45886
4/17/2022 0:00,45121
4/16/2022 0:00,46064
4/15/2022 0:00,45482
4/14/2022 0:00,47091
4/13/2022 0:00,44286
4/12/2022 0:00,44933
4/11/2022 0:00,46219
4/10/2022 0:00,44749
4/9/2022 0:00,47251
4/8/2022 0:00,47496
4/7/2022 0:00,45847
4/6/2022 0:00,46197
4/5/2022 0:00,49092
4/4/2022 0:00,50068
4/3/2022 0:00,50045
4/2/2022 0:00,48974
4/1/2022 0:00,49404
3/31/2022 0:00,49395
3/30/2022 0:00,51002
3/29/2022 0:00,48800
3/28/2022 0:00,50447
3/27/2022 0:00,49246
3/26/2022 0:00,49180
3/25/2022 0:00,48838
3/24/2022 0:00,48721
3/23/2022 0:00,49989
3/22/2022 0:00,49962
3/21/2022 0:00,49232
3/20/2022 0:00,49522
3/19/2022 0:00,50221
3/18/2022 0:00,48749
3/17/2022 0:00,49338
3/16/2022 0:00,50513
3/15/2022 0:00,48356
3/14/2022 0:00,50228
3/13/2022 0:00,51759
3/12/2022 0:00,50906
3/11/2022 0:00,52145
3/10/2022 0:00,51684
3/9/2022 0:00,49834
3/8/2022 0:00,52202
3/7/2022 0:00,52177
3/6/2022 0:00,54388
3/5/2022 0:00,51867
3/4/2022 0:00,52100
3/3/2022 0:00,54094
3/2/2022 0:00,54016
3/1/2022 0:00,57007
2/28/2022 0:00,54793
2/27/2022 0:00,54257
2/26/2022 0:00,56253
2/25/2022 0:00,55131
2/24/2022 0:00,57806
2/23/2022 0:00,56298
2/22/2022 0:00,58202
2/21/2022 0:00,59974
2/20/2022 0:00,59259
2/19/2022 0:00,61706
2/18/2022 0:00,60504
2/17/2022 0:00,58837
2/16/2022 0:00,59873
2/15/2022 0:00,60868
2/14/2022 0:00,62015
2/13/2022 0:00,60970
2/12/2022 0:00,60898
2/11/2022 0:00,61552
2/10/2022 0:00,62930
2/9/2022 0:00,63473
2/8/2022 0:00,64752
2/7/2022 0:00,65343
2/6/2022 0:00,64973
2/5/2022 0:00,68887
2/4/2022 0:00,68080
2/3/2022 0:00,67813
2/2/2022 0:00,67814
2/1/2022 0:00,67983
1/31/2022 0:00,68275
1/30/2022 0:00,66509
1/29/2022 0:00,70192
1/28/2022 0:00,68014
1/27/2022 0:00,68259
1/26/2022 0:00,68009
1/25/2022 0:00,67178
1/24/2022 0:00,69947
1/23/2022 0:00,71312
1/22/2022 0:00,68129
1/21/2022 0:00,71606
1/20/2022 0:00,71862
1/19/2022 0:00,75743
1/18/2022 0:00,74770
1/17/2022 0:00,78574
1/16/2022 0:00,79347
1/15/2022 0:00,78601
1/14/2022 0:00,83511
1/13/2022 0:00,84225
1/12/2022 0:00,94684
