gtx1080ti,gtx1660ti,rtx3070,nvda,spy,bond,difficulty,btc
300,188,492,181.600006,422.029999,2.84,33494,24402.1875
300,189,493,181.600006,422.029999,2.84,36729,23957.20313
300,188,493,181.309998,422.98999,2.87,36190,23948.3457
300,188,492,176.979996,418.779999,2.78,36012,23162.89844
300,188,493,172.520004,412.220001,2.8,36796,23811.48438
303,188,493,175.020004,415.25,2.77,38109,23179.52734
300,188,493,188.100006,409.660004,2.83,38774,22963.50586
303,187,492,188.100006,409.660004,2.83,37986,23291.42383
302,188,492,188.100006,409.660004,2.83,37539,22626.83398
302,189,490,188.490005,414.369995,2.68,36949,22848.21484
302,190,490,181.839996,410.299988,2.73,37991,22981.30273
302,190,490,181.220001,409.119995,2.75,37613,23308.43359
303,190,490,181.820007,409.149994,2.6,37063,23336.71875
303,189,490,178.130005,407.579987,2.67,37160,23652.07031
305,190,489,178.130005,407.579987,2.67,38134,23796.81836
305,190,488,178.130005,407.579987,2.67,36041,23845.21289
307,190,485,179.75,401.890015,2.68,31876,22933.64063
308,190,485,170.320007,394.359985,2.78,30941,21244.16992
308,190,485,168.889999,393.839996,2.81,30674,21361.12109
305,190,484,170.190002,395.75,2.81,29138,22607.15625
305,190,484,178.929993,398.920013,2.77,32652,22465.50977
305,190,483,178.929993,398.920013,2.77,31419,22706.98438
304,190,480,178.929993,398.920013,2.77,31855,23163.75195
303,190,480,178.850006,394.160004,2.91,32963,23233.20117
301,190,480,169.470001,392.470001,3.04,33130,23393.19141
303,190,480,164.860001,386.079987,3.01,32532,22467.84961
303,191,480,163.020004,388.380005,2.96,33088,20781.91211
305,190,480,156.589996,382.549988,2.93,32137,21195.04102
305,190,480,156.589996,382.549988,2.93,32611,20834.10352
305,192,480,156.589996,382.549988,2.93,32823,20573.15625
305,192,480,151.080002,373.609985,2.96,32592,20211.4668
308,192,480,145.899994,375.100006,2.91,33321,19325.97266
308,193,481,152.679993,383.649994,2.96,33998,19970.47461
